DIRECTORIO,SECUENCIA_P,SECUENCIA_ENCUESTA,FEX_C
7690880,1,1,239.261869904664
7690870,1,1,392.072817924841
7690872,1,1,362.822016020511
7651562,1,1,286.877766527252
7651576,1,1,500.899658086699
7749468,1,1,330.510724518669
7781591,1,2,437.560060040717
7781592,1,1,227.726388520993
7749479,1,6,462.898040796553
7784273,1,3,469.615449920083
7749474,1,1,179.580716577217
7749531,1,1,281.106430052349
7784268,1,1,715.345590562423
7749526,1,1,173.505819825518
7651568,1,2,317.504141832491
7749503,1,1,439.351364846886
7749523,1,1,287.120852063978
7651574,1,1,377.910312999452
7749476,1,2,226.96408978545
7749487,1,1,225.68870324774
7749458,1,1,451.700092239693
7651577,1,1,381.180246869981
7781580,1,1,615.883884503538
7784266,1,1,382.235355643028
7784287,1,1,433.599157947253
7749476,1,3,226.96408978545
7749523,1,2,287.120852063978
7784269,1,1,317.374738942135
7784273,1,1,469.615449920083
7749509,1,2,353.424191556266
7784267,1,1,591.038160636261
7784262,1,4,176.369862275159
7784264,1,1,288.950310034645
7784282,1,1,197.21919939835
7749497,1,2,148.40756186704
7749493,1,2,487.842235226645
7651554,1,4,227.911518914312
7784263,1,1,148.40756186704
7651596,1,3,174.284526635354
7784277,1,1,267.424217223386
7784262,1,1,176.369862275159
7651551,1,3,244.248502306635
7784258,1,5,202.964356680361
7651594,1,1,136.782742466602
7651557,1,1,422.649803830342
7749495,1,1,124.165512224525
7784278,1,1,136.807437886884
7651599,1,1,136.782742466602
7781596,1,2,224.050641105797
7651591,1,2,136.782742466602
7749500,1,1,215.637638959808
7749497,1,1,148.40756186704
7784264,1,2,288.950310034645
7863839,1,1,250.393345955274
7969811,1,1,92.0559784915281
7863833,1,1,152.099241108616
7863827,1,1,245.258614935251
7728472,1,2,190.796819775628
7863799,1,1,254.368764094697
7863793,1,1,233.579633271667
7969728,1,2,141.461468879626
7863795,1,1,215.973461989593
7969804,1,1,111.53935788446
7863806,1,2,183.277132701903
7728472,1,1,190.796819775628
7728485,1,1,137.80327170883
7863792,1,1,193.716997238829
7863796,1,3,346.762819903441
7863829,1,1,245.258614935251
7863841,1,1,254.368764094697
7969751,1,1,136.397803673114
7863819,1,1,444.334499525462
7863816,1,2,963.110287426519
7863821,1,1,339.704831796635
7969775,1,1,213.610938210746
7969784,1,2,581.76036085433
7969784,1,1,581.76036085433
7969785,1,3,341.26726995026
7969702,1,1,193.871853529109
7863847,1,1,444.334499525462
7969697,1,1,331.719934146337
7863820,1,2,963.110287426519
7863843,1,1,717.616373101554
7969778,1,1,350.039237414752
7863850,1,2,371.177579214848
7969699,1,1,213.610938210746
7969775,1,2,213.610938210746
7969700,1,1,255.712399234375
7820076,1,1,258.162653216326
7820050,1,1,447.31419527866
7671571,1,3,419.268976374411
7820101,1,2,286.486828747089
7671577,1,1,343.901326277119
7820077,1,2,173.853622870923
7820091,1,1,352.258653919999
7671542,1,1,468.448614431329
7820049,1,1,345.035005741753
7820087,1,1,234.929529631087
7820096,1,2,337.04561961203
7820054,1,1,354.160377888983
7820080,1,1,426.965086571242
7820083,1,1,426.813170761058
7820110,1,1,533.516463451323
7671587,1,1,245.869874993005
7677898,1,2,491.918754553777
7820103,1,1,344.699603462725
7820052,1,1,269.014695232353
7671571,1,4,419.268976374411
7820095,1,2,425.615618066376
7820056,1,2,218.121482839188
7820071,1,1,484.406062937484
7820067,1,3,435.371007641831
7671558,1,1,413.734429061848
7820062,1,2,206.234921265095
7820072,1,2,439.320565817064
7820074,1,1,227.232753085747
7820065,1,1,372.360986155663
7820067,1,2,435.371007641831
7820063,1,1,508.457126155642
7820059,1,1,589.091175317236
7820067,1,1,435.371007641831
7820064,1,1,358.68651665547
7820056,1,1,218.121482839188
7992248,1,1,361.921899308111
7992264,1,1,419.344493717204
7992251,1,1,440.53902299517
7910083,1,1,69.7824069643622
7910082,1,1,112.07350489174
7992263,1,1,561.252885285809
7910084,1,1,114.175772418767
7910047,1,1,162.656380196322
7992255,1,1,275.054826210949
7910059,1,1,112.322927255854
7910069,1,1,184.208872833252
7910063,1,1,291.449087476688
7910054,1,1,291.449087476688
7910065,1,1,291.449087476688
7910053,1,1,179.705100682384
7910056,1,2,112.322927255854
7910053,1,2,179.705100682384
7910055,1,1,112.322927255854
7910051,1,1,217.159592031391
7910066,1,1,184.060948049588
7910057,1,1,219.56314189929
7716208,1,1,107.763423480624
7991006,1,2,653.518411375366
8016528,1,1,81.7341508049161
7987116,1,1,255.607207603856
7664594,1,2,79.9451506723195
8016553,1,1,171.349983917005
8016554,1,1,170.279480843575
7874981,1,1,113.880988813139
7664607,1,1,64.794831605885
7716223,1,1,183.354066119558
7716226,1,1,168.248986167686
7874973,1,1,172.57230278809
7991007,1,1,518.674887689024
8016548,1,1,141.385157029803
7991010,1,1,246.499860573283
7815670,1,2,99.6915599145949
7991004,1,1,335.436683048513
7664595,1,1,64.794831605885
7987115,1,1,338.66509346803
7874983,1,1,138.774908409367
8016525,1,1,105.962714755529
7716245,1,2,99.6328027071182
7874975,1,1,269.450575046111
7716227,1,1,219.698963362688
7874974,1,1,305.286184290603
7815669,1,1,110.300391204214
7874970,1,1,165.53025131824
7959961,1,2,417.110816840432
7716206,1,1,107.868280281932
7959963,1,3,368.158174315938
7959962,1,1,196.426633121753
7716227,1,2,219.698963362688
7716224,1,2,176.216036446915
7716238,1,2,221.631466287465
7874997,1,2,115.222026118497
7959952,1,1,206.102554747477
8016561,1,1,140.578261600716
7716241,1,1,193.032993239613
7716207,1,1,439.187700672095
7959934,1,1,222.052085518658
7716239,1,1,206.276741497331
7664620,1,2,126.056228147174
7991018,1,1,188.877269457178
7716234,1,1,350.657857095045
8016539,1,1,482.283524886569
7874962,1,1,186.346046967164
8016536,1,1,411.500374003874
7664626,1,1,296.216506589695
7991001,1,1,296.854200157309
7815686,1,1,68.1574882930279
7992160,1,1,353.629069434999
7991020,1,2,671.159749149923
7874960,1,1,331.299385031448
7815681,1,1,159.50483070994
7664611,1,1,138.890657264916
7991001,1,4,296.854200157309
7664619,1,1,179.055513877643
7664620,1,1,126.056228147174
7664624,1,1,133.321608367351
7664619,1,3,179.055513877643
7991017,1,1,353.157400900768
7874959,1,1,300.974189943444
7987120,1,2,333.767759232563
7716238,1,1,221.631466287465
7815687,1,3,114.62603692072
7991016,1,2,266.056805801988
7991016,1,1,266.056805801988
7874965,1,1,413.599645855278
7716214,1,1,221.322602860463
7874958,1,1,267.327896964753
7874999,1,1,171.403637444547
7716207,1,2,439.187700672095
7716216,1,1,221.45349013355
8016557,1,2,148.680634139012
7716214,1,2,221.322602860463
7716233,1,1,350.657857095045
7716213,1,1,129.722944786838
7716217,1,1,221.45349013355
7874956,1,1,115.222026118497
8016535,1,1,347.812853637546
7741899,1,2,266.694951607446
7716232,1,7,489.472112401331
7874996,1,1,184.08002240411
7874998,1,1,124.991888114776
7716233,1,2,350.657857095045
7874963,1,1,300.974189943444
7716232,1,3,489.472112401331
7959950,1,1,257.030205515335
7874992,1,1,188.811633401048
7716239,1,3,206.276741497331
7874957,1,1,222.764566382141
7716232,1,4,489.472112401331
7664618,1,1,157.906993129992
7815696,1,1,89.8981184733044
7664624,1,2,133.321608367351
7701396,1,1,193.734163144563
7701426,1,1,138.649308557206
7758826,1,1,262.899552976602
7953086,1,4,63.4156440599396
7910026,1,1,82.668571246762
7758813,1,1,394.103159775833
7758816,1,2,360.652004766686
7701392,1,2,360.897062763761
7758826,1,2,262.899552976602
7634621,1,1,276.387517176791
7634631,1,2,305.725092149341
7953086,1,2,63.4156440599396
7701425,1,1,188.281944801403
7910030,1,1,90.969323475207
7701400,1,1,319.543469206227
7701397,1,1,263.010865056391
7701396,1,2,193.734163144563
7634626,1,1,355.374824264915
7634629,1,1,187.229459026531
